reaction_id,cluster,metric,value
DM_for_c,1,minimum,0.0
DM_for_c,1,maximum,12.265822784810126
DM_for_c,1,mean_range,6.378227848101276
DM_for_c,1,mean_midpoint,3.189113924050638
DM_for_c,1,median_range,6.378227848101261
DM_for_c,1,median_midpoint,3.1891139240506305
DM_for_c,1,std_range,3.5380042389110073
DM_for_c,1,frac_fixed,0.0
DM_for_c,1,frac_variable,1.0
DM_for_c,1,frac_bidirectional,0.0
DM_for_c,2,minimum,0.9812658227848097
DM_for_c,2,maximum,24.041012658227856
DM_for_c,2,mean_range,6.132911392405069
DM_for_c,2,mean_midpoint,15.332278481012656
DM_for_c,2,median_range,6.13291139240507
DM_for_c,2,median_midpoint,15.332278481012665
DM_for_c,2,std_range,3.3962525414209446
DM_for_c,2,frac_fixed,0.0
DM_for_c,2,frac_variable,1.0
DM_for_c,2,frac_bidirectional,0.0
DM_for_c,3,minimum,0.0
DM_for_c,3,maximum,1.117364013814015e-12
DM_for_c,3,mean_range,-6.502278299084395e-13
DM_for_c,3,mean_midpoint,-3.2511391495421974e-13
DM_for_c,3,median_range,0.0
DM_for_c,3,median_midpoint,0.0
DM_for_c,3,std_range,4.105572827731989e-12
DM_for_c,3,frac_fixed,1.0
DM_for_c,3,frac_variable,0.0
DM_for_c,3,frac_bidirectional,0.0
DM_for_c,4,minimum,0.0
DM_for_c,4,maximum,1.537798968026527e-12
DM_for_c,4,mean_range,1.8778578451843326e-13
DM_for_c,4,mean_midpoint,9.389289225921663e-14
DM_for_c,4,median_range,0.0
DM_for_c,4,median_midpoint,0.0
DM_for_c,4,std_range,4.57632792052728e-13
DM_for_c,4,frac_fixed,1.0
DM_for_c,4,frac_variable,0.0
DM_for_c,4,frac_bidirectional,0.0
DM_for_c,5,minimum,2.831822192163667
DM_for_c,5,maximum,23.869024818204647
DM_for_c,5,mean_range,4.43548094549536
DM_for_c,5,mean_midpoint,12.827487442516379
DM_for_c,5,median_range,4.294369579867736
DM_for_c,5,median_midpoint,12.541145522423225
DM_for_c,5,std_range,1.9563469444401962
DM_for_c,5,frac_fixed,0.0
DM_for_c,5,frac_variable,1.0
DM_for_c,5,frac_bidirectional,0.0
DM_for_c,6,minimum,0.0
DM_for_c,6,maximum,23.03441622676244
DM_for_c,6,mean_range,1.238566239698119
DM_for_c,6,mean_midpoint,9.159673102474564
DM_for_c,6,median_range,1.0852514678723733
DM_for_c,6,median_midpoint,8.347773003526223
DM_for_c,6,std_range,0.8847391659359115
DM_for_c,6,frac_fixed,0.0
DM_for_c,6,frac_variable,1.0
DM_for_c,6,frac_bidirectional,0.0
DM_for_c,7,minimum,0.0
DM_for_c,7,maximum,5.290313169861574
DM_for_c,7,mean_range,1.8732622443499873
DM_for_c,7,mean_midpoint,1.1531866831477031
DM_for_c,7,median_range,1.8158744142245369
DM_for_c,7,median_midpoint,0.9392750942129553
DM_for_c,7,std_range,1.074522885818577
DM_for_c,7,frac_fixed,0.0
DM_for_c,7,frac_variable,1.0
DM_for_c,7,frac_bidirectional,0.0
DM_for_c,8,minimum,0.0
DM_for_c,8,maximum,11.603202033393824
DM_for_c,8,mean_range,4.22445191168388
DM_for_c,8,mean_midpoint,2.11222595584194
DM_for_c,8,median_range,3.8210776460517253
DM_for_c,8,median_midpoint,1.9105388230258626
DM_for_c,8,std_range,2.8525510462136925
DM_for_c,8,frac_fixed,0.0
DM_for_c,8,frac_variable,1.0
DM_for_c,8,frac_bidirectional,0.0
DM_for_c,9,minimum,0.0
DM_for_c,9,maximum,14.54699950174849
DM_for_c,9,mean_range,7.795588730125115
DM_for_c,9,mean_midpoint,5.7428589160920405
DM_for_c,9,median_range,7.878120401326923
DM_for_c,9,median_midpoint,5.911268566455687
DM_for_c,9,std_range,2.0241769089689927
DM_for_c,9,frac_fixed,0.0
DM_for_c,9,frac_variable,1.0
DM_for_c,9,frac_bidirectional,0.0
DM_for_c,10,minimum,0.0
DM_for_c,10,maximum,24.041012658227878
DM_for_c,10,mean_range,-6.217831128023546e-13
DM_for_c,10,mean_midpoint,12.038536414475262
DM_for_c,10,median_range,-2.1405099914773018e-13
DM_for_c,10,median_midpoint,12.02050632911354
DM_for_c,10,std_range,2.750905608618448e-12
DM_for_c,10,frac_fixed,1.0
DM_for_c,10,frac_variable,0.0
DM_for_c,10,frac_bidirectional,0.0
DM_for_c,11,minimum,24.531645569620263
DM_for_c,11,maximum,24.531645569620256
DM_for_c,11,mean_range,-7.105427357601002e-15
DM_for_c,11,mean_midpoint,24.53164556962026
DM_for_c,11,median_range,-7.105427357601002e-15
DM_for_c,11,median_midpoint,24.53164556962026
