cluster,metric,value
1,cluster_mean_range,131.75543317126804
1,cluster_median_range,133.76233499579865
1,cluster_std_range,237.9749037743025
1,blocked_reactions_fraction,0.0365341890891138
1,fixed_flux_reactions_fraction,0.0017279684028634905
1,mandatory_variable_flux_reactions_fraction,0.004196494692668477
1,optional_variable_flux_reactions_fraction,0.9294001481115773
1,bidirectional_flux_reactions_fraction,0.028141199703776845
1,C_to_N_uptake_ratio,6.378227848101268
1,nitrogen_assimilation_ratio,0.0
1,carbon_assimilation_ratio,0.0
1,carbon_uptake_composition,0.10000000000000003
1,nitrogen_uptake_composition,1.0
1,rubisco_carboxylation_fraction,0.9791659111611871
1,photons_per_rubisc_ratio,0.504277522344595
1,rubisco_fraction_of_carbon_uptake,19.657925797736745
1,photons_per_nitrate_uptake,63.22769230768699
2,cluster_mean_range,110.77679328606473
2,cluster_median_range,100.0926514514948
2,cluster_std_range,229.95436621883871
2,blocked_reactions_fraction,0.0365341890891138
2,fixed_flux_reactions_fraction,0.0017279684028634905
2,mandatory_variable_flux_reactions_fraction,0.006171315724512466
2,optional_variable_flux_reactions_fraction,0.9284127375956553
2,bidirectional_flux_reactions_fraction,0.026906936558874352
2,C_to_N_uptake_ratio,18.398734177215196
2,nitrogen_assimilation_ratio,0.0
2,carbon_assimilation_ratio,0.0
2,carbon_uptake_composition,0.10000000000000002
2,nitrogen_uptake_composition,1.0
2,rubisco_carboxylation_fraction,0.9914244626698527
2,photons_per_rubisc_ratio,0.7410985339367436
2,rubisco_fraction_of_carbon_uptake,6.422820482789483
2,photons_per_nitrate_uptake,87.5769230769231
3,cluster_mean_range,128.84169556585954
3,cluster_median_range,130.6004728860342
3,cluster_std_range,237.32805559558918
3,blocked_reactions_fraction,0.030116020735620835
3,fixed_flux_reactions_fraction,0.040730683781782274
3,mandatory_variable_flux_reactions_fraction,0.05035793631202172
3,optional_variable_flux_reactions_fraction,0.8494198963218959
3,bidirectional_flux_reactions_fraction,0.029128610219698838
3,C_to_N_uptake_ratio,2.921969856592703
3,nitrogen_assimilation_ratio,0.02368259013556933
3,carbon_assimilation_ratio,0.012462766112249666
3,carbon_uptake_composition,0.10000000000000002
3,nitrogen_uptake_composition,1.0
3,rubisco_carboxylation_fraction,0.9851205421757744
3,photons_per_rubisc_ratio,0.5759846954483989
3,rubisco_fraction_of_carbon_uptake,35.4244603064134
3,photons_per_nitrate_uptake,59.619718034036886
4,cluster_mean_range,117.85355282149101
4,cluster_median_range,118.10514895130878
4,cluster_std_range,233.96531151840736
4,blocked_reactions_fraction,0.030116020735620835
4,fixed_flux_reactions_fraction,0.04097753641076277
4,mandatory_variable_flux_reactions_fraction,0.05159219945692422
4,optional_variable_flux_reactions_fraction,0.8486793384349544
4,bidirectional_flux_reactions_fraction,0.028388052332757343
4,C_to_N_uptake_ratio,5.533276355805752
4,nitrogen_assimilation_ratio,0.044847251160281376
4,carbon_assimilation_ratio,0.012462766112249665
4,carbon_uptake_composition,0.09999999999999996
4,nitrogen_uptake_composition,1.0
4,rubisco_carboxylation_fraction,0.997249257255128
4,photons_per_rubisc_ratio,0.8510935292365345
4,rubisco_fraction_of_carbon_uptake,14.427022197694473
4,photons_per_nitrate_uptake,67.94169070776103
5,cluster_mean_range,105.96915993030903
5,cluster_median_range,100.68051444090423
5,cluster_std_range,227.84865583675355
5,blocked_reactions_fraction,0.0
5,fixed_flux_reactions_fraction,0.03233769439644532
5,mandatory_variable_flux_reactions_fraction,0.06196000987410516
5,optional_variable_flux_reactions_fraction,0.8783016539126142
5,bidirectional_flux_reactions_fraction,0.02715378918785485
5,C_to_N_uptake_ratio,8.693965774784507
5,nitrogen_assimilation_ratio,0.04116813646732676
5,carbon_assimilation_ratio,0.007281221780415952
5,carbon_uptake_composition,0.09999999999999999
5,nitrogen_uptake_composition,1.0
5,rubisco_carboxylation_fraction,0.999869727577869
