,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
H2Ot_e,-+,,-,-,++,++,-+,-+,,+,+,0
EX_h2o_e,-+,,+,+,--,--,-+,-+,,-,-,0
DM_for_c,0+,++,0,0,++,++,,0+,++,+,+,0
MTOBTA_c,-0,-0,+,+,,-+,-+,-+,-+,+,0,0
ATPt_m,0+,0+,0+,++,++,++,++,0+,0+,++,0+,0+
ATP2t_m,0+,0+,0+,++,++,++,++,0+,0+,++,0+,0+
FTHDF_c,0+,++,0+,0+,++,++,,0+,++,++,++,0+
ATPS_m,-+,++,-+,++,++,++,++,-+,++,++,++,-+
CO2t_m,-+,--,-+,-+,--,--,,-+,--,--,--,-0
PIt_m,-+,-+,-+,++,++,++,++,-+,-+,++,0+,-+
GCS_m,-+,--,-+,-+,--,--,,-+,--,-,-,-+
EX_h_e,-+,,-,-,,,--,,,,+,0
ALANA1t_m,-+,,-+,,--,--,,-+,,--,--,-+
PGAM_h,,++,,++,++,++,++,,++,++,++,-+
MPCt_m,-+,,-+,,--,--,,-+,,--,--,-+
ALATA_L_c,-+,,-+,,--,--,,-+,,--,--,-+
CHRL_h,0+,0+,+,+,++,++,++,++,++,+,0,0
ALATA_L_m,-+,,-+,,++,++,,-+,,++,++,-+
O2t_e,--,--,-,-,--,--,--,--,--,-,-,0
IGPS_c,0+,0+,+,+,++,++,++,++,++,+,0,0
SO3R_h,0+,0+,+,+,++,++,++,++,++,+,0,0
ANPRT_c,0+,0+,+,+,++,++,++,++,++,+,0,0
EX_o2_e,++,++,+,+,++,++,++,++,++,+,+,0
PRAI_c,0+,0+,+,+,++,++,++,++,++,+,0,0
EX_so4_e,-0,-0,-,-,--,--,--,--,--,-,0,0
ANTHt_h,-0,-0,-,-,--,--,--,--,--,-,0,0
NO3t_e,0+,0+,++,++,++,++,++,++,++,++,0+,0+
PHOt_e,++,++,++,++,++,++,++,++,++,+,+,++
CA_h,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-0
CA_m,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+
CO2t_e,+,+,+,+,+,+,+,+,+,+,+,0
NAHCO3CLt_e,+,+,+,+,+,+,+,+,+,+,+,0
