reaction_id,cluster,metric,value
DM_no3_c,1,minimum,0.0
DM_no3_c,1,maximum,1.1139762398280708
DM_no3_c,1,mean_range,1.9781076002007383e-13
DM_no3_c,1,mean_midpoint,0.4694651644831022
DM_no3_c,1,median_range,1.6697754290362354e-13
DM_no3_c,1,median_midpoint,0.43397623982791544
DM_no3_c,1,std_range,1.217648548830489e-13
DM_no3_c,1,frac_fixed,1.0
DM_no3_c,1,frac_variable,0.0
DM_no3_c,1,frac_bidirectional,0.0
DM_no3_c,2,minimum,0.0
DM_no3_c,2,maximum,2.0
DM_no3_c,2,mean_range,1.02
DM_no3_c,2,mean_midpoint,0.51
DM_no3_c,2,median_range,1.02
DM_no3_c,2,median_midpoint,0.51
DM_no3_c,2,std_range,0.5772347875864725
DM_no3_c,2,frac_fixed,0.0
DM_no3_c,2,frac_variable,1.0
DM_no3_c,2,frac_bidirectional,0.0
DM_no3_c,3,minimum,0.0
DM_no3_c,3,maximum,0.0
DM_no3_c,3,mean_range,0.0
DM_no3_c,3,mean_midpoint,0.0
DM_no3_c,3,median_range,0.0
DM_no3_c,3,median_midpoint,0.0
DM_no3_c,3,std_range,0.0
DM_no3_c,3,frac_fixed,1.0
DM_no3_c,3,frac_variable,0.0
DM_no3_c,3,frac_bidirectional,0.0
DM_no3_c,4,minimum,0.0
DM_no3_c,4,maximum,0.0
DM_no3_c,4,mean_range,0.0
DM_no3_c,4,mean_midpoint,0.0
DM_no3_c,4,median_range,0.0
DM_no3_c,4,median_midpoint,0.0
DM_no3_c,4,std_range,0.0
DM_no3_c,4,frac_fixed,1.0
DM_no3_c,4,frac_variable,0.0
DM_no3_c,4,frac_bidirectional,0.0
DM_no3_c,5,minimum,0.0
DM_no3_c,5,maximum,0.0
DM_no3_c,5,mean_range,0.0
DM_no3_c,5,mean_midpoint,0.0
DM_no3_c,5,median_range,0.0
DM_no3_c,5,median_midpoint,0.0
DM_no3_c,5,std_range,0.0
DM_no3_c,5,frac_fixed,1.0
DM_no3_c,5,frac_variable,0.0
DM_no3_c,5,frac_bidirectional,0.0
DM_no3_c,6,minimum,0.0
DM_no3_c,6,maximum,1.7601475832407232e-12
DM_no3_c,6,mean_range,8.802268223615938e-15
DM_no3_c,6,mean_midpoint,4.401134111807969e-15
DM_no3_c,6,median_range,0.0
DM_no3_c,6,median_midpoint,0.0
DM_no3_c,6,std_range,3.7318710423634375e-13
DM_no3_c,6,frac_fixed,1.0
DM_no3_c,6,frac_variable,0.0
DM_no3_c,6,frac_bidirectional,0.0
DM_no3_c,7,minimum,0.0
DM_no3_c,7,maximum,0.0
DM_no3_c,7,mean_range,0.0
DM_no3_c,7,mean_midpoint,0.0
DM_no3_c,7,median_range,0.0
DM_no3_c,7,median_midpoint,0.0
DM_no3_c,7,std_range,0.0
DM_no3_c,7,frac_fixed,1.0
DM_no3_c,7,frac_variable,0.0
DM_no3_c,7,frac_bidirectional,0.0
DM_no3_c,8,minimum,0.0
DM_no3_c,8,maximum,1.1494171902347288
DM_no3_c,8,mean_range,0.07127105118815732
DM_no3_c,8,mean_midpoint,0.5449214270388312
DM_no3_c,8,median_range,0.049063291139280873
DM_no3_c,8,median_midpoint,0.5437594842784166
DM_no3_c,8,std_range,0.025793069384090615
DM_no3_c,8,frac_fixed,0.0
DM_no3_c,8,frac_variable,1.0
DM_no3_c,8,frac_bidirectional,0.0
DM_no3_c,9,minimum,0.0
DM_no3_c,9,maximum,1.2911809918621173
DM_no3_c,9,mean_range,0.27661334722159264
DM_no3_c,9,mean_midpoint,0.4864576473532314
DM_no3_c,9,median_range,0.27574004145538333
DM_no3_c,9,median_midpoint,0.46289246208152035
DM_no3_c,9,std_range,0.12782429451963634
DM_no3_c,9,frac_fixed,0.0
DM_no3_c,9,frac_variable,1.0
DM_no3_c,9,frac_bidirectional,0.0
DM_no3_c,10,minimum,0.0
DM_no3_c,10,maximum,1.9822795247965617
DM_no3_c,10,mean_range,0.8877504550903217
DM_no3_c,10,mean_midpoint,0.451051371701516
DM_no3_c,10,median_range,0.8898916839397318
DM_no3_c,10,median_midpoint,0.4449458419698659
DM_no3_c,10,std_range,0.5155709515792826
DM_no3_c,10,frac_fixed,0.0
DM_no3_c,10,frac_variable,1.0
DM_no3_c,10,frac_bidirectional,0.0
DM_no3_c,11,minimum,0.0
DM_no3_c,11,maximum,1.5215471695070122
DM_no3_c,11,mean_range,0.5877528330101361
DM_no3_c,11,mean_midpoint,0.42436888559690583
DM_no3_c,11,median_range,0.6020628926759692
DM_no3_c,11,median_midpoint,0.3676121591432011
DM_no3_c,11,std_range,0.29808641504519534
DM_no3_c,11,frac_fixed,0.0
DM_no3_c,11,frac_variable,1.0
DM_no3_c,11,frac_bidirectional,0.0
PINAt_e,1,minimum,4.458610374395107
PINAt_e,1,maximum,243.86557864566748
PINAt_e,1,mean_range,239.40696827122864
PINAt_e,1,mean_midpoint,124.16209451002216
PINAt_e,1,median_range,239.40696827122366
PINAt_e,1,median_midpoint,124.16209451002058
PINAt_e,1,std_range,1.506515209757443e-11
PINAt_e,1,frac_fixed,0.0
PINAt_e,1,frac_variable,1.0
PINAt_e,1,frac_bidirectional,0.0
PINAt_e,2,minimum,0.0
PINAt_e,2,maximum,304.6220800693901
PINAt_e,2,mean_range,304.6220800693898
PINAt_e,2,mean_midpoint,152.3110400346949
PINAt_e,2,median_range,304.6220800693898
PINAt_e,2,median_midpoint,152.3110400346949
PINAt_e,2,std_range,1.3160202914594068e-13
PINAt_e,2,frac_fixed,0.0
PINAt_e,2,frac_variable,1.0
PINAt_e,2,frac_bidirectional,0.0
PINAt_e,3,minimum,0.0
PINAt_e,3,maximum,304.6220800693898
PINAt_e,3,mean_range,304.6220800693898
PINAt_e,3,mean_midpoint,152.3110400346949
PINAt_e,3,median_range,304.6220800693898
PINAt_e,3,median_midpoint,152.3110400346949
PINAt_e,3,std_range,0.0
PINAt_e,3,frac_fixed,0.0
PINAt_e,3,frac_variable,1.0
PINAt_e,3,frac_bidirectional,0.0
PINAt_e,4,minimum,2.5668882995245212
PINAt_e,4,maximum,266.6126942974488
PINAt_e,4,mean_range,260.2479846840682
PINAt_e,4,mean_midpoint,133.32142120787182
PINAt_e,4,median_range,260.6275854425625
PINAt_e,4,median_midpoint,133.44819764327096
PINAt_e,4,std_range,2.5012070426298747
PINAt_e,4,frac_fixed,0.0
PINAt_e,4,frac_variable,1.0
PINAt_e,4,frac_bidirectional,0.0
PINAt_e,5,minimum,3.967290801498848
PINAt_e,5,maximum,259.57830488576803
PINAt_e,5,mean_range,250.58230850622974
PINAt_e,5,mean_midpoint,129.46897914737445
PINAt_e,5,median_range,251.88201574792635
PINAt_e,5,median_midpoint,130.11585993713788
PINAt_e,5,std_range,4.897398474798864
PINAt_e,5,frac_fixed,0.0
PINAt_e,5,frac_variable,1.0
PINAt_e,5,frac_bidirectional,0.0
PINAt_e,6,minimum,0.0
PINAt_e,6,maximum,303.6718454250914
PINAt_e,6,mean_range,291.7815797795016
PINAt_e,6,mean_midpoint,145.8907898897508
PINAt_e,6,median_range,291.7524300169257
PINAt_e,6,median_midpoint,145.87621500846285
PINAt_e,6,std_range,7.026315163178875
PINAt_e,6,frac_fixed,0.0
PINAt_e,6,frac_variable,1.0
PINAt_e,6,frac_bidirectional,0.0
PINAt_e,7,minimum,0.1076496021798796
PINAt_e,7,maximum,278.96574467332863
PINAt_e,7,mean_range,272.11862375748024
PINAt_e,7,mean_midpoint,137.28589512934397
PINAt_e,7,median_range,272.02165396042096
PINAt_e,7,median_midpoint,137.25350982731902
PINAt_e,7,std_range,4.3068485453998315
PINAt_e,7,frac_fixed,0.0
PINAt_e,7,frac_variable,1.0
PINAt_e,7,frac_bidirectional,0.0
PINAt_e,8,minimum,4.0802659594274555
PINAt_e,8,maximum,258.09341685011714
PINAt_e,8,mean_range,251.88201574791975
PINAt_e,8,mean_midpoint,130.11585993713462
PINAt_e,8,median_range,251.88201574791657
PINAt_e,8,median_midpoint,130.11585993713274
PINAt_e,8,std_range,2.1311351427625786
PINAt_e,8,frac_fixed,0.0
PINAt_e,8,frac_variable,1.0
PINAt_e,8,frac_bidirectional,0.0
PINAt_e,9,minimum,2.566888299523157
PINAt_e,9,maximum,266.61269429745187
PINAt_e,9,mean_range,260.1353616825901
PINAt_e,9,mean_midpoint,133.28380815691904
PINAt_e,9,median_range,260.6275854425553
PINAt_e,9,median_midpoint,133.44819764326752
PINAt_e,9,std_range,2.6135360590428642
PINAt_e,9,frac_fixed,0.0
PINAt_e,9,frac_variable,1.0
PINAt_e,9,frac_bidirectional,0.0
PINAt_e,10,minimum,0.0
PINAt_e,10,maximum,303.6718454250965
PINAt_e,10,mean_range,292.33057338808777
PINAt_e,10,mean_midpoint,146.16528669404389
PINAt_e,10,median_range,292.26902969350914
PINAt_e,10,median_midpoint,146.13451484675457
PINAt_e,10,std_range,7.104549936709138
PINAt_e,10,frac_fixed,0.0
PINAt_e,10,frac_variable,1.0
PINAt_e,10,frac_bidirectional,0.0
PINAt_e,11,minimum,0.1076496021610096
PINAt_e,11,maximum,278.9657446733321
PINAt_e,11,mean_range,272.22416095978184
PINAt_e,11,mean_midpoint,137.32114171410527
PINAt_e,11,median_range,272.021653960431
PINAt_e,11,median_midpoint,137.25350982732417
PINAt_e,11,std_range,4.262698935536506
PINAt_e,11,frac_fixed,0.0
PINAt_e,11,frac_variable,1.0
PINAt_e,11,frac_bidirectional,0.0
NAHCO3CLt_e,1,minimum,3.599392001205331
NAHCO3CLt_e,1,maximum,8.599392001206262
NAHCO3CLt_e,1,mean_range,4.999999999996293
NAHCO3CLt_e,1,mean_midpoint,6.099392001204021
NAHCO3CLt_e,1,median_range,4.999999999999988
NAHCO3CLt_e,1,median_midpoint,6.099392001205851
NAHCO3CLt_e,1,std_range,2.380280973074929e-11
NAHCO3CLt_e,1,frac_fixed,0.0
NAHCO3CLt_e,1,frac_variable,1.0
NAHCO3CLt_e,1,frac_bidirectional,0.0
NAHCO3CLt_e,2,minimum,0.0
NAHCO3CLt_e,2,maximum,20.0
NAHCO3CLt_e,2,mean_range,20.0
NAHCO3CLt_e,2,mean_midpoint,10.0
NAHCO3CLt_e,2,median_range,20.0
NAHCO3CLt_e,2,median_midpoint,10.0
NAHCO3CLt_e,2,std_range,0.0
NAHCO3CLt_e,2,frac_fixed,0.0
NAHCO3CLt_e,2,frac_variable,1.0
NAHCO3CLt_e,2,frac_bidirectional,0.0
NAHCO3CLt_e,3,minimum,0.0
NAHCO3CLt_e,3,maximum,20.0
NAHCO3CLt_e,3,mean_range,20.0
NAHCO3CLt_e,3,mean_midpoint,10.0
NAHCO3CLt_e,3,median_range,20.0
NAHCO3CLt_e,3,median_midpoint,10.0
NAHCO3CLt_e,3,std_range,0.0
NAHCO3CLt_e,3,frac_fixed,0.0
