,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
DM_no3_c,+,0+,0,0,0,0,0,,,,
PINAt_e,++,0+,0+,++,++,0+,++,++,++,0+,++
NAHCO3CLt_e,++,0+,0+,++,++,0+,,++,++,0+,
PIt_e,++,-+,-+,++,++,-+,,++,++,-+,
SO4t_e,--,-+,-+,--,--,-+,--,--,--,-+,--
NASO4t_e,--,-+,-+,--,--,-+,--,--,--,-+,--
CLt_e,++,0+,0+,++,++,0+,,++,++,0+,
EX_hco3_e,--,-0,-0,--,--,-0,,--,--,-0,
PGAM_h,++,-+,-+,++,++,-+,,++,++,-+,
ANTHt_h,-,-0,0,-,-,-,-,--,--,--,--
PRAIC_c,-,-0,0,-,-,-,-,--,--,--,--
EX_h_e,--,-+,-+,--,--,-+,--,--,--,-+,--
ATP2t_m,++,0+,0+,++,++,0+,0+,++,++,0+,0+
PIt_m,++,-+,-+,++,++,-+,-+,++,++,-+,-+
ATPS_m,++,-+,-+,++,++,-+,-+,++,++,-+,-+
ATPt_m,++,0+,0+,++,++,0+,0+,++,++,0+,0+
PRAIS_c,+,0+,0,+,+,+,+,++,++,++,++
NITR_c,+,0+,0,+,+,+,+,++,++,++,++
AIAL_c,+,0+,0,+,+,+,+,++,++,++,++
CHRL_h,+,0+,0,+,+,+,+,++,++,++,++
PRAI_c,+,0+,0,+,+,+,+,++,++,++,++
PRDPAR_c,+,0+,0,+,+,+,+,++,++,++,++
PPRGL_c,+,0+,0,+,+,+,+,++,++,++,++
FPGFT_c,+,0+,0,+,+,+,+,++,++,++,++
IGPS_c,+,0+,0,+,+,+,+,++,++,++,++
PRFGCL_c,+,0+,0,+,+,+,+,++,++,++,++
DXPS_h,+,0+,0,+,+,+,+,++,++,++,++
AMETt_h,+,0+,0,+,+,+,+,++,++,++,++
ANPRT_c,+,0+,0,+,+,+,+,++,++,++,++
PRFGS_c,+,0+,0,+,+,+,+,++,++,++,++
NO3t_e,+,+,0,+,+,+,+,+,+,+,+
PHOt_e,+,++,++,++,++,++,++,++,++,++,++
CA_h,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+
CA_m,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+
CO2t_e,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
NAHCO3CLt_e,++,0+,0+,++,++,0+,,++,++,0+,
