,c1,c2,c3,c4,c5,c6,c7,c8,c9
DM_no3_c,+,0+,0,0,0,,,,
NITR_c,+,0+,,+,+,,++,++,++
ATPS_m,++,-+,-+,++,,-+,++,++,
SO4t_e,--,-+,-+,--,--,-+,--,--,--
NAHCO3CLt_e,++,0+,0+,++,++,0+,++,++,++
PIt_e,++,-+,-+,++,,-+,++,++,
PINAt_e,++,0+,0+,++,++,0+,++,++,
NASO4t_e,--,-+,-+,--,--,-+,--,--,--
PIt_m,++,-+,-+,++,,-+,++,++,
EX_hco3_e,--,-0,-0,--,--,-0,--,--,--
EX_h_e,--,-+,-+,--,--,-+,--,--,--
CLt_e,++,0+,0+,++,++,0+,++,++,++
ATP2t_m,++,0+,0+,++,,0+,++,++,0+
ATPt_m,++,0+,0+,++,,0+,++,++,0+
PGAM_h,++,-+,-+,++,,-+,++,++,
NH4t_e,-,-0,-,-,-,,,,
TPI_c,++,-+,-+,++,,-+,++,,-+
EX_nh4_e,-,-0,-,-,-,,,,
AIAL_c,+,0+,+,+,+,++,++,++,++
PRAIS_c,+,0+,+,+,+,++,++,++,++
PRAIC_c,-,-0,-,-,-,--,--,--,--
NO3t_e,+,+,,+,+,+,+,+,+
PHOt_e,+,++,++,++,++,++,++,++,++
CA_h,-+,-+,-+,-+,-+,-+,-+,-+,-+
CA_m,-+,-+,-+,-+,-+,-+,-+,-+,-+
CO2t_e,0+,0+,0+,0+,0+,0+,0+,0+,0+
NAHCO3CLt_e,++,0+,0+,++,++,0+,++,++,++
NH4t_e,-,-0,-,-,-,,,,
